SystemsBiologyToIdentifyBiomar_DataDictionary_2022-05-26,,,,,,,,,,,,,,,,,
Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
q95_protein_hosp,hospitalization_record,,text,95. Protein (g/L),,"(Enter value to 2 decimal places, e.g. 0.00)",number_2dp,,,,[q89_csf_hosp] = '1',,,,,,
q96_csfculture_hosp,hospitalization_record,,radio,96. CSF culture,"a, No growth | b, Growth",,,,,,[q89_csf_hosp] = '1',,,,,,
q97_csfgrowth_hosp,hospitalization_record,,notes,"97. If CSF culture growth, specify organism",,,,,,,[q96_csfculture_hosp] = 'b',,,,,,
q89_serumlytes_hosp,hospitalization_record,,radio,98. Serum elctrolytes,"1, Yes | 0, No",,,,,,,,,,,,
q99_potassium_hosp,hospitalization_record,,text,99. Potassium (mmol/L),,,number,,,,,,,,,,
q100_sodium_hosp,hospitalization_record,,text,100. Sodium (mmol/L),,,integer,0,999,,,,,,,,
q101_chloride_hosp,hospitalization_record,,text,101. Chloride (mmol/L),,,integer,0,999,,,,,,,,
q102_bicarb_hosp,hospitalization_record,,text,102. Bicarbonate (mmol/L),,,integer,0,99,,,,,,,,
q103_calcium_hosp,hospitalization_record,,text,103. Calcium (mg/dl),,"(Enter value to 2 decimal places, e.g. 0.00)",number_2dp,,,,,,,,,,
q104_phosphate_hosp,hospitalization_record,,text,104. Phosphate (mg/dl),,,number,,,,,,,,,,
q105_creat_hosp,hospitalization_record,,text,105. Creatinine (mmol/L),,,integer,0,999,,,,,,,,
q106_urea_hosp,hospitalization_record,,text,106. Urea (mg/dl),,,number,,,,,,,,,,
q107_parasite_hosp,hospitalization_record,,radio,107. Malaria parasite,"1, Yes | 0, No",,,,,,,,,,,,
q108_parasitefinding_hosp,hospitalization_record,,radio,"108. If yes, findings","1, Positive | 2, Negative",,,,,,[q107_parasite_hosp] = '1',,,,,,
q109_swabs_hosp,hospitalization_record,,radio,109. Swabs M/C/S,"1, Yes | 0, No",,,,,,,,,,,,
q110_swabspecify_hosp,hospitalization_record,,notes,"110. If yes, specify type",,,,,,,[q109_swabs_hosp] = '1',,,,,,
q111_swabgrowth_hosp,hospitalization_record,,radio,111. Swab findings,"a, No growth | b, Growth",,,,,,[q109_swabs_hosp] = '1',,,,,,
q112_swaborganism_hosp,hospitalization_record,,notes,112. Specify organism and sensitivity,,,,,,,[q111_swabgrowth_hosp] = 'b',,,,,,
q113_bloodsugar_hosp,hospitalization_record,,radio,113. Blood sugar,"1, Yes | 0, No",,,,,,,,,,,,
q114_bloodsugarlevel_hosp,hospitalization_record,,text,"114. If yes, results (mmol/L)",,,number,,,,[q113_bloodsugar_hosp] = '1',,,,,,
q115_serumbili_hosp,hospitalization_record,,radio,115. Serum bilirubin,"1, Yes | 0, No",,,,,,,,,,,,
q116_totalbili_hosp,hospitalization_record,,text,116. Total bilirubin (umol/L),,,number,,,,[q115_serumbili_hosp] = '1',,,,,,
q117_conjugatedbili_hosp,hospitalization_record,,text,117. Conjugated bilirubin (umol/L),,,number,,,,[q115_serumbili_hosp] = '1',,,,,,
q118_unconjugatedbili_hosp,hospitalization_record,,text,118. Unconjugated bilirubin (umol/L),,,number,,,,[q115_serumbili_hosp] = '1',,,,,,
q119_lft_hosp,hospitalization_record,,radio,119. Liver function test,"1, Yes | 0, No",,,,,,,,,,,,
q120_lft_totalbili_hosp,hospitalization_record,,text,120. Total bilirubin (umol/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q121_lft_conjbili_hosp,hospitalization_record,,text,121. Conjugated bilirubin (umol/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q122_lft_unconjbili_hosp,hospitalization_record,,text,122. Unconjugated bilirubin (umol/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q123_lft_alt_hosp,hospitalization_record,,text,123. ALT (U/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q124_lft_ast_hosp,hospitalization_record,,text,124. AST (U/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q125_lft_ggt_hosp,hospitalization_record,,text,125. GGT (U/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q126_lft_alkp_hosp,hospitalization_record,,text,126. ALKP (U/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q127_lft_totalprotein_hosp,hospitalization_record,,text,127. Total protein (g/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q128_lft_albumin_hosp,hospitalization_record,,text,128. Albumin (g/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q129_lft_globulin_hosp,hospitalization_record,,text,129. Globulin (g/L),,,number,,,,[q119_lft_hosp] = '1',,,,,,
q130_mothersblood_hosp,hospitalization_record,,radio,130. Mother's blood group,"1, Yes | 0, No",,,,,,,,,,,,
q131_momabo_hosp,hospitalization_record,,radio,131. Mother's ABO grouping,"1, AB | 2, A | 3, B | 4, O",,,,,,[q130_mothersblood_hosp] = '1',,,,,,
q132_momrh_hosp,hospitalization_record,,radio,132. Mother's rhesus grouping,"1, Positive | 2, Negative",,,,,,[q130_mothersblood_hosp] = '1',,,,,,
q133_babysblood_hosp,hospitalization_record,,radio,133. Baby's blood group,"1, Yes | 0, No",,,,,,,,,,,,
q134_babyabo_hosp,hospitalization_record,,radio,134. Baby's ABO grouping,"1, AB | 2, A | 3, B | 4, O",,,,,,[q133_babysblood_hosp] = '1',,,,,,
q135_babyrh_hosp,hospitalization_record,,radio,135. Baby's rhesus grouping,"1, Positive | 2, Negative",,,,,,[q133_babysblood_hosp] = '1',,,,,,
q136_coombs_hosp,hospitalization_record,,radio,136. Direct coombs test,"1, Yes | 0, No",,,,,,,,,,,,
q137_coombsresults_hosp,hospitalization_record,,radio,"137. If yes, results","1, Positive | 2, Negative",,,,,,[q136_coombs_hosp] = '1',,,,,,
q138_notes_hosp,hospitalization_record,,notes,138. Notes,,,,,,,,,,,,,
q139_hospoutcome_hosp,hospitalization_record,,radio,139. Hospitalization outcome,"1, Recovered fully | 2, Recovered with sequelae | 3, Died | 4, Left against medical advice | 5, Other",,,,,,,,,,,,
q140_sequelaespecify_hosp,hospitalization_record,,notes,"140. Recovered with sequelae, specify",,,,,,,[q139_hospoutcome_hosp] = '2',,,,,,
q140_otherspecify_hosp,hospitalization_record,,notes,"141. Other, specify",,,,,,,[q139_hospoutcome_hosp] = '5',,,,,,
q142_dischargeordeath_hosp,hospitalization_record,,text,142. Date of discharge (or death),,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q143_ongoing_hosp,hospitalization_record,,radio,143. Ongoing at the end of the study,"1, Yes | 0, No",,,,,,,,,,,,
q144_nursename_hosp,hospitalization_record,,text,144. Nurse or physician's name,,,,,,,,,,,,,
q145_nursesign_hosp,hospitalization_record,,text,145. Signature,,,,,,,,,,,,,
q146_date_hosp,hospitalization_record,,text,146. Date,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
anc_term,termination_form,,text,ANC Number,,,,,,,,,,,,,
subjnum_term,termination_form,,text,1. Subject Number (Study ID),,,,,,,,,,,,,
q2_visitscomplete_term,termination_form,,radio,2. Has subject completed the study visits?,"1, Yes | 0, No",,,,,,,,,,,,
q3_lastdov_term,termination_form,,text,3. Date of last visit,,(DD/MM/YYYY),date_dmy,,,,,,,,,,
q4_earlyterm_term,termination_form,,radio,4. Choose reason for non-completion,"1, Withdrew consent | 2, Lost to follow-up | 3, Migrated | 4, Other",,,,,,[q2_visitscomplete_term] = '0',,,,,,
q5_specifywithdrawn_term,termination_form,,notes,5. Specify reason for withdrawn consent,,,,,,,[q4_earlyterm_term] = '1',,,,,,
q6_otherspecify_term,termination_form,,notes,"6. Other, specify",,,,,,,[q4_earlyterm_term] = '4',,,,,,
